timestamp,func_id,func_name,color
1508190311.155654,2370,_dl_lookup_symbol_x,grey
1508190311.156620,2370,_dl_lookup_symbol_x,grey
1508190311.157591,3260,do_lookup_x,grey
1508190311.158570,2370,_dl_lookup_symbol_x,grey
1508190311.159556,3260,do_lookup_x,grey
1508190311.160546,3260,do_lookup_x,grey
1508190311.161259,3460,enqueue_task_fair,grey
1508190311.161538,2370,_dl_lookup_symbol_x,grey
1508190311.162533,2380,_dl_relocate_object,grey
1508190311.163529,2370,_dl_lookup_symbol_x,grey
1508190311.164528,3260,do_lookup_x,grey
1508190311.165286,4570,intel_idle,grey
1508190311.165526,6170,release_pages,grey
1508190311.166250,4570,intel_idle,grey
1508190311.166495,1660,__do_page_fault,grey
1508190311.167467,6170,release_pages,grey
1508190311.168256,5130,native_write_msr_safe,grey
1508190311.168446,4420,handle_mm_fault,grey
1508190311.169432,1910,__memcpy_ssse3_back,grey
1508190311.169805,1250,[unknown],grey
1508190311.170421,7190,tensorflow::KernelDef::~KernelDef,grey
1508190311.171255,6240,run_timer_softirq,grey
1508190311.171414,2400,_int_malloc,grey
1508190311.172408,6670,std::string::resize@plt,grey
1508190311.173404,3860,get_vma_policy,grey
1508190311.174402,5320,pagevec_lru_move_fn,grey
1508190311.175403,2960,clear_page_c,grey
1508190311.176371,2390,_int_free,grey
1508190311.177342,7200,tensorflow::KernelDef_AttrConstraint::SharedDtor,grey
1508190311.178321,4840,malloc@plt,grey
1508190311.179307,4830,malloc,grey
1508190311.180297,6600,std::basic_string<char,,grey
1508190311.181291,2400,_int_malloc,grey
1508190311.182285,6970,tensorflow::AttrValue::~AttrValue,grey
1508190311.183282,4010,google::protobuf::RepeatedField<int>::Reserve,grey
1508190311.184279,4010,google::protobuf::RepeatedField<int>::Reserve,grey
1508190311.185283,4010,google::protobuf::RepeatedField<int>::Reserve,grey
1508190311.186253,6600,std::basic_string<char,,grey
1508190311.187224,7180,tensorflow::KernelDef::SharedDtor,grey
1508190311.188200,5240,operator,grey
1508190311.189183,6960,tensorflow::AttrValue::clear_value,grey
1508190311.190171,7170,tensorflow::KernelDef::KernelDef,grey
1508190311.191162,2390,_int_free,grey
1508190311.192157,6960,tensorflow::AttrValue::clear_value,grey
1508190311.193154,2310,__wake_up_bit,grey
1508190311.194152,2400,_int_malloc,grey
1508190311.194252,4570,intel_idle,grey
1508190311.194297,5620,perf_pmu_sched_task,grey
1508190311.195166,1250,[unknown],grey
1508190311.196148,3840,get_page_from_freelist,grey
1508190311.197116,990,PyThreadState_Swap,grey
1508190311.197252,5110,native_sched_clock,grey
1508190311.197928,1250,[unknown],grey
1508190311.198066,1250,[unknown],grey
1508190311.198102,340,PyEval_EvalFrameEx,grey
1508190311.198205,1250,[unknown],grey
1508190311.198451,1250,[unknown],grey
1508190311.199082,1250,[unknown],grey
1508190311.200064,340,PyEval_EvalFrameEx,grey
1508190311.200253,2710,account_process_tick,grey
1508190311.200435,4570,intel_idle,grey
1508190311.201073,340,PyEval_EvalFrameEx,grey
1508190311.202063,1250,[unknown],grey
1508190311.203051,1030,PyTuple_New,grey
1508190311.203260,6130,read_tsc,grey
1508190311.204061,1250,[unknown],grey
1508190311.205063,5870,pthread_mutex_unlock,grey
1508190311.206040,3260,do_lookup_x,grey
1508190311.206276,3560,find_busiest_group,grey
1508190311.207022,3260,do_lookup_x,grey
1508190311.207991,2400,_int_malloc,grey
1508190311.208966,3260,do_lookup_x,grey
1508190311.209282,4490,hrtimer_start_range_ns,grey
1508190311.209960,1450,_PyTuple_MaybeUntrack,grey
1508190311.210946,1250,[unknown],grey
1508190311.211952,830,PyObject_RichCompareBool@plt,grey
1508190311.212955,810,PyObject_RichCompare,grey
1508190311.213952,1460,_PyType_Lookup,grey
1508190311.214108,2210,__switch_to,grey
1508190311.214941,340,PyEval_EvalFrameEx,grey
1508190311.215250,3090,cpuidle_enter_state,grey
1508190311.215919,1780,__list_add,grey
1508190311.216252,4570,intel_idle,grey
1508190311.216898,1310,_IO_no_init,grey
1508190311.217871,770,PyObject_IsTrue,grey
1508190311.218255,7610,ttwu_do_activate.constprop.91,grey
1508190311.218847,340,PyEval_EvalFrameEx,grey
1508190311.219829,1300,_IO_link_in,grey
1508190311.220829,370,PyFrame_New,grey
